gmag  g-r   r-i   rh[pc]            
20.63  0.62  0.17  _            
19.44  0.24 -0.03  _            
19.72  0.44  0.25  _            
18.29  0.39  0.02  _            
18.58  0.69  0.44  _            
18.89  0.73  0.50  _            
19.38  0.52  0.38  _            
19.55  0.61  0.38  _            
20.06  0.69  0.11  _            
19.62  0.54  0.41  _            
18.79  0.30  0.03  _            
19.40  0.63  0.44  _            
18.69  0.26  0.15  _            
17.97  0.13  0.14  _            
19.25  0.25  0.35  _            
17.72 -0.08  0.09  _            
19.66  0.67  0.37  _            
17.48  0.16  0.10  _            
18.05  0.44  0.35  _            
18.19  0.08 -0.41  _            
14.88  0.06  0.12  _            
17.53  0.32  0.18  _            
18.76  0.03 -0.20  _            
19.12  1.16  0.46  _            
19.10  0.99  0.57  _            
18.71  1.13  0.57  _            
18.87  1.17  0.58  _            
19.06  1.46  0.64  _            
19.08  1.38  0.53  _            
19.53  0.91  0.51  _            
17.68  1.19  0.71  _            
19.31  1.27  0.65  _            
19.93  1.10  0.45  _            
19.81  1.25  0.49  _            
18.48  1.22  0.61  _            
19.30  1.22  0.60  _            
18.79  0.56  0.39  _            
18.44  0.60  0.36  _            
18.14  1.16  0.53  _            
18.82  1.13  0.39  _            
19.29  1.07  0.35  _            
18.24  0.82  0.44  _            
18.58  0.83  0.37  _            
18.00  0.80  0.52  _            
16.93  0.95  0.49  _            
18.02  0.97  0.46  _            
17.79  1.01  0.46  _            
18.56  0.75  0.38  _            
18.18  1.15  0.49  _            
18.26  0.59  0.34  _            
18.14  0.98  0.42  _            
18.52  1.13  0.46  _            
18.11  0.62  0.42  _            
17.10  1.08  0.49  _            
18.03  0.78  0.43  _            
18.46  0.85  0.42  _            
17.97  0.90  0.45  _            
19.05  0.45  0.37  _            
